,id,Node_1,Node_2,is_atDRearOf,is_atSRearOf,is_inDFrontOf,is_inSFrontOf,is_isIn,is_toLeftOf,is_toRightOf,near_level,lane_id_diff,lane_id,lane_id_Node_2,Name,velocity_diff,abs_distance,abs_distance_level,equal_frequency_velocity_diff,equal_frequency_distance_difff
9137,"(17, 17791814)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-4,20.27313493271329,8,3,4
9138,"(17, 17791815)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,0,12.083045973594572,5,4,2
9139,"(17, 17791815)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-5,20.27313493271329,8,3,4
9140,"(17, 17791816)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,0,11.6619037896906,5,4,2
9141,"(17, 17791816)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-6,19.748417658131498,8,3,4
9142,"(17, 17791817)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,0,11.180339887498947,4,4,2
9143,"(17, 17791817)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-7,19.748417658131498,8,3,4
9144,"(17, 17791818)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-1,11.6619037896906,5,3,2
9145,"(17, 17791818)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-8,19.748417658131498,8,3,4
9146,"(17, 17791819)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-1,11.180339887498947,4,3,2
9147,"(17, 17791819)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-8,19.748417658131498,8,3,4
9148,"(17, 17791820)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-2,11.6619037896906,5,3,2
9149,"(17, 17791820)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-9,18.894443627691185,8,2,4
9150,"(17, 17791821)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,-1,11.180339887498947,4,3,2
9151,"(17, 17791821)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-9,19.748417658131498,8,2,4
9152,"(17, 17791822)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,0,11.6619037896906,5,4,2
9153,"(17, 17791822)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-8,18.894443627691185,8,3,4
9154,"(17, 17791823)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,0,11.180339887498947,4,4,2
9155,"(17, 17791823)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-8,19.748417658131498,8,3,4
9156,"(17, 17791824)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,0,11.6619037896906,5,4,2
9157,"(17, 17791824)",car_5526,ego car,0,1,0,0,0,1,0,1,-3.0,3.0,6.0,car_5526,-8,18.894443627691185,8,3,4
9158,"(17, 17791825)",car_5468,ego car,1,0,0,0,0,1,0,2,-3.0,3.0,6.0,car_5468,1,11.180339887498947,4,4,2
